time,latitude,longitude,msl,u10,v10,ws,t2m,skt,istl1,istl2,istl3,istl4,sst,d2m,tcwv,tclw,tciw,ssrd,strd,e,tp,sf,fal,ci,6.9GHzH,6.9GHzV,7.3GHzH,7.3GHzV,10.7GHzH,10.7GHzV,18.7GHzH,18.7GHzV,23.8GHzH,23.8GHzV,36.5GHzH,36.5GHzV,89.0GHzH,89.0GHzV,Earth Incidence,Earth Azimuth,scanpos
2014-01-01T00:00:00Z,73,30,1021.3,-4.73,1.72,5.04,271.73,278.07,271.46,271.46,271.46,271.46,278.07,264.01,3.8445,0.00144,0.027729,0,496.19,-1.486,0.724,0.6278,0.06,0,79.54,160.11,80.54,160.89,85.62,168.61,102.39,184.96,121.58,196.41,140.28,210.64,186.29,240.42,55.07,62.43,33
2014-01-01T00:00:00Z,55,180,987.2,9.02,-0.6,9.04,275.92,276.94,271.46,271.46,271.46,271.46,276.94,273.68,8.0865,0.02186,0.013285,33.55,499.98,-0.433,0.473,0,0.06,0,79.84,160.05,80.85,160.74,86.48,168.52,107.64,187.29,135.6,202.62,145.42,212.55,202.85,246.67,55.23,-146.49,55
2014-01-01T06:00:00Z,45,-45,1005.6,4.25,1.12,4.4,276.84,281.79,271.46,271.46,271.46,271.46,281.78,271.63,12.9245,0.02128,0.179721,0,301.43,-0.822,0,0,0.06,0,81.91,161.57,82.86,162.16,89.62,170.17,115.88,191.44,152.84,211.3,158.44,218.44,219.95,252.48,54.85,19.06,107
2014-01-02T06:00:00Z,45,-45,1011.1,13.57,-4.55,14.31,272.55,281.54,271.46,271.46,271.46,271.46,281.54,269.49,3.9275,0.00405,0.031782,0,247.51,-2.338,0.563,0.5599,0.06,0,92.76,168.33,94.45,169.13,101.2,176.54,118.37,190.16,135.51,199.35,154.75,211.76,195.42,237.97,54.83,-40.35,215
2014-01-03T06:00:00Z,45,-45,1016.8,15.84,-4.15,16.37,273.03,281.77,271.46,271.46,271.46,271.46,281.77,269.72,5.6681,0.00971,0.053498,0,255.58,-2.498,0.601,0.5475,0.06,0,95.55,170.52,97.07,171.31,106.61,180.17,131.41,197.85,155.05,210.21,177,223.49,224.01,249.38,54.87,33.74,80
2014-01-04T06:00:00Z,45,-45,975.7,10.62,16.19,19.36,285.97,281.28,271.46,271.46,271.46,271.46,281.28,284.81,34.2116,0.96006,0.136855,0,365.22,1.294,6.85,0,0.06,0,90.53,165.7,92.67,166.8,106.72,178.5,158.23,212.54,211.58,241.01,207.85,239.92,257.59,263.95,54.81,-18.25,176
2014-01-04T18:00:00Z,45,-45,990.3,24.69,-1.42,24.73,273.45,281.52,271.46,271.46,271.46,271.46,281.51,271.18,4.0271,0.00372,0.034496,197.74,264.41,-3.939,0.849,0.6674,0.06,0,113.75,182.77,115.69,183.48,126.23,190.58,149.82,204.42,169.69,214.12,190,226.11,229.74,249.21,55.13,-117.09,12
2014-01-05T06:00:00Z,45,-45,1008.5,19.94,-9.95,22.28,274.05,281.52,271.46,271.46,271.46,271.46,281.51,270.73,5.7948,0.01106,0.032008,0,266.73,-3.492,0.662,0.4927,0.06,0,103.8,176.48,105.44,177.5,115.51,185.74,141.09,202.74,165.31,215.08,186.79,227.91,237.13,254.67,54.92,51.56,48
2014-01-05T15:00:00Z,45,-45,1018.7,15.87,-7.04,17.36,274.66,281.67,271.46,271.46,271.46,271.46,281.67,271.05,5.9277,0.01039,0.01787,125.23,659.74,-7.615,1.296,0.8154,0.06,0,93.9,171.58,95.34,172.66,103.2,180.57,124.45,196.5,148.8,208.96,165.18,219.89,218.4,249.47,55.18,143.17,157
2014-01-06T06:00:00Z,45,-45,1020.2,12.82,-6.44,14.34,276.56,281.67,271.46,271.46,271.46,271.46,281.67,273.34,9.0435,0.02246,0.05248,0,295.29,-1.972,0.96,0,0.06,0,93.63,168.73,95.14,169.63,104.65,178.25,133.12,197.75,162.41,212.97,183.08,225.86,240.33,256.76,54.82,-2.43,147
